date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:30:10	3222/3222	---M--	200	added ('OK')	application/javascript	etag:%224aa32fa-c96-576997d12a100%22	https://www.techniti.in/societies/society_events/main.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/main.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:14	424553/424553	---M--	200	added ('OK')	application/javascript	etag:%224a03001-67a69-56f488fe48580%22	https://www.techniti.in/local/templates/neurohive/assets/js/pixi.js	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/js/pixi.js	(from https://www.techniti.in/societies/society_events/some.php)
11:30:18	219481/219481	---M--	200	added ('OK')	image/jpeg	etag:%224aa32f4-35959-577308b043e80%22	https://www.techniti.in/societies/society_events/img/back_img/soece.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/img/back_img/soece.jpg	(from https://www.techniti.in/societies/society_events/workshops.php)
11:30:19	2718244/2718244	---M--	200	added ('OK')	image/jpeg	etag:%224a03136-297a24-578ac5e9e0b6a%22	https://www.techniti.in/local/templates/neurohive/assets/img/aspen.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/local/templates/neurohive/assets/img/aspen.jpg	(from https://www.techniti.in/)
11:30:19	392/392	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2006:00:22%20GMT	https://www.techniti.in/societies/society_events/Table%20'techniti.event_registrations'%20doesn't%20exist	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/Table%20'techniti.59.delayed	(from https://www.techniti.in/societies/society_events/workshops.php)
11:30:20	410303/410303	---M--	200	added ('OK')	image/jpeg	etag:%224aa32f6-642bf-577308b9cd500%22	https://www.techniti.in/societies/society_events/img/back_img/textile.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/img/back_img/textile.jpg	(from https://www.techniti.in/societies/society_events/textile.php)
11:30:20	442450/442450	---M--	200	added ('OK')	image/jpeg	etag:%224a0310d-6c052-5783275faa773%22	https://www.techniti.in/societies/society_events/img/back_img/civil.jpg	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/societies/society_events/img/back_img/civil.jpg	(from https://www.techniti.in/societies/society_events/soccer.php)
11:30:20	58801/58801	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224a02f29-e5b1-56f489283e880%22	https://www.techniti.in/bitrix/fonts/opensans-bold.eot	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/fonts/opensans-bold.eot	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563)
11:30:21	107297/107297	---M--	200	added ('OK')	image/png	etag:%224a02f3a-1a321-56f48944dac00%22	https://www.techniti.in/bitrix/js/main/core/images/panel/top-panel-sprite-2.png	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/js/main/core/images/panel/top-panel-sprite-2.png	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563)
11:30:21	69964/69964	---M--	200	added ('OK')	font/woff	etag:%224a02f2b-1114c-56f489283e880%22	https://www.techniti.in/bitrix/fonts/opensans-bold.woff	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/fonts/opensans-bold.woff	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563)
11:30:21	1714/1714	---M--	200	added ('OK')	image/png	etag:%224a02f38-6b2-56f48944dac00%22	https://www.techniti.in/bitrix/js/main/core/images/calendar-sprite.png	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/js/main/core/images/calendar-sprite.png	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563)
11:30:22	13962/13962	---M--	200	added ('OK')	image/png	etag:%224a02f3c-368a-56f48944dac00%22	https://www.techniti.in/bitrix/js/main/core/images/popup/popup-menu-sprite.2.png	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/js/main/core/images/popup/popup-menu-sprite.2.png	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563)
11:30:22	121576/121576	---M--	200	added ('OK')	font/ttf	etag:%224a02f2a-1dae8-56f489283e880%22	https://www.techniti.in/bitrix/fonts/opensans-bold.ttf	C:/Users/RAJ/Music/sandhaan%20website/website2/www.techniti.in/bitrix/fonts/opensans-bold.ttf	(from https://www.techniti.in/bitrix/cache/css/s1/neurohive/kernel_main/kernel_maind75a.css?152969663326563)
